document_id,source_document_id,input_file,output_file,chunk_count,status,error
pipeda,pipeda,processed\text\pipeda.json,processed\chunks_langchain\pipeda.jsonl,120,success,
pipl,pipl,processed\text\pipl.json,processed\chunks_langchain\pipl.jsonl,15,success,
s3_security_your_checklist_for_soc2_compliance,s3_security_your_checklist_for_soc2_compliance,processed\text\s3_security_your_checklist_for_soc2_compliance.json,processed\chunks_langchain\s3_security_your_checklist_for_soc2_compliance.jsonl,8,success,
sbs_guide_implementation_isoiec_27001_final,sbs_guide_implementation_isoiec_27001_final,processed\text\sbs_guide_implementation_isoiec_27001_final.json,processed\chunks_langchain\sbs_guide_implementation_isoiec_27001_final.jsonl,50,success,
soc2_compliance_checklist,soc2_compliance_checklist,processed\text\soc2_compliance_checklist.json,processed\chunks_langchain\soc2_compliance_checklist.jsonl,3,success,
soc2_compliance_checklist_2c5e95ec,soc2_compliance_checklist,processed\text\soc2_compliance_checklist_2c5e95ec.json,processed\chunks_langchain\soc2_compliance_checklist_2c5e95ec.jsonl,0,success,
soc_2_compliance_handbook_whitepaper,soc_2_compliance_handbook_whitepaper,processed\text\soc_2_compliance_handbook_whitepaper.json,processed\chunks_langchain\soc_2_compliance_handbook_whitepaper.jsonl,9,success,
sox,sox,processed\text\sox.json,processed\chunks_langchain\sox.jsonl,69,success,
tisax_participant_handbook,tisax_participant_handbook,processed\text\tisax_participant_handbook.json,processed\chunks_langchain\tisax_participant_handbook.jsonl,160,success,
uae_pdpl,uae_pdpl,processed\text\uae_pdpl.json,processed\chunks_langchain\uae_pdpl.jsonl,29,success,
understanding_iso27001_2022_people_process_technology_v8,understanding_iso27001_2022_people_process_technology_v8,processed\text\understanding_iso27001_2022_people_process_technology_v8.json,processed\chunks_langchain\understanding_iso27001_2022_people_process_technology_v8.jsonl,8,success,
