document_id,source_document_id,relative_path,file_type,framework,country,source_type,is_official,status,error,quality_score,file_hash,output_file
sbs_guide_implementation_isoiec_27001_final,sbs_guide_implementation_isoiec_27001_final,ISO27001\SBS-Guide_Implementation-ISOIEC-27001_final.pdf,pdf,iso27001,,implementation_guide,false,success,,0.8246,b75af62ea867b1cd4a49c9d8b9a5698dc5b2e980ecebdf675ecfcc9da180b1b2,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\sbs_guide_implementation_isoiec_27001_final.json
understanding_iso27001_2022_people_process_technology_v8,understanding_iso27001_2022_people_process_technology_v8,ISO27001\understanding-iso27001-2022-people-process-technology_v8.pdf,pdf,iso27001,,standard_supporting_text,false,success,,0.9368,b5beefd66e1d27d4db3b4c3aae7eac76be6dbc1c2d66e051c54e092ab31c878f,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\understanding_iso27001_2022_people_process_technology_v8.json
nist_cswp_29,nist_cswp_29,NIST\NIST.CSWP.29.pdf,pdf,nist,,official_standard,true,success,,1.0,3c31f46fee98cac0c4323453e5109291a213b4de7fef8c058af9bf67f717433c,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\nist_cswp_29.json
nist_sp_800_53r5,nist_sp_800_53r5,NIST\NIST.SP.800-53r5.pdf,pdf,nist,,official_standard,true,success,,1.0,fc63bcd61715d0181dd8e85998b1e6201ae3515fc6626102101cab1841e11ec6,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\nist_sp_800_53r5.json
pci_dss_v4_0_1,pci_dss_v4_0_1,Pcidss\PCI-DSS-v4_0_1.pdf,pdf,pci_dss,,official_standard,true,success,,1.0,5e6b9093b84007b973097d20126a3768ea2f0a1d4200255c849b0fb3bf04ebc7,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\pci_dss_v4_0_1.json
lgpd,lgpd,Regulations\LGPD.pdf,pdf,regulation,brazil,official_regulation,true,success,,1.0,268d284b279f9f2ec9e0e494ccf2841ead40155599c77a095cf8d0ae867ebd61,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\lgpd.json
pipeda,pipeda,Regulations\PIPEDA.pdf,pdf,regulation,canada,official_regulation,true,success,,1.0,f83e2876836aa927b2c923fe1a4cdafd57a05e74d0fd3848b3e5e0783fb9b207,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\pipeda.json
pipl,pipl,Regulations\PIPL.pdf,pdf,regulation,china,official_regulation,true,success,,1.0,6526219a6e5f897afd971ba07756d6e459c08c6b811b24690e510d734d6ed3d2,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\pipl.json
egypt_pdpl,egypt_pdpl,Regulations\Egypt PDPL.pdf,pdf,regulation,egypt,official_regulation,true,success,,0.845,4f9e63d82e6209ff52bd83579b2c939418d76a70908d8f010c735d2673c63b7d,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\egypt_pdpl.json
dora,dora,Regulations\DORA.pdf,pdf,regulation,eu,official_regulation,true,success,,1.0,85307f9e2a0409826dd0f54489645935816d16e929f0db4db3ef15badd11d38c,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\dora.json
gdpr,gdpr,Regulations\GDPR.pdf,pdf,regulation,eu,official_regulation,true,success,,1.0,bd84e63f5b622b739a83389afc3b30d240f792bb88d8eb03a816c9a82b0c2499,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\gdpr.json
morocco_09_08,morocco_09_08,Regulations\Morocco 09-08.pdf,pdf,regulation,morocco,official_regulation,true,success,,1.0,4b5e910545336cc9d66e0a4f9af648f1b10f1c9dfb97059e610751783d2ad7ed,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\morocco_09_08.json
uae_pdpl,uae_pdpl,Regulations\UAE PDPL.pdf,pdf,regulation,uae,official_regulation,true,success,,0.8554,d5d5f9e93bd6c0dc2afe79776f3101bcd599e4400a67309bc0b378b2812bcf3a,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\uae_pdpl.json
